ASBASD,MolLogP,MolWt,NumRotableBonds,TPSA,AromaticProportion
697,4.7381,329.321,2,22,0.75
698,3.5144,312.118,2,20.31,0.315789474
699,2.4924,301.296,4,50.94,0.772727273
700,7.39568,502.92,8,71.35,0.514285714
701,1.6262,221.26,3,53.93,0.375
702,0.8517,257.273,6,55.84,0
703,-3.2198,180.156,2,110.38,0
704,1.2796,68.075,0,13.14,1
705,1.0921,96.085,1,30.21,0.714285714
706,1.5528,262.261,1,75.99,0
707,3.1418,372.808,6,91.68,0.615384615
708,-3.2214,180.156,1,110.38,0
709,1.771,217.268,2,46.17,0.375
710,-1.6681,92.094,2,60.69,0
711,0.0443,218.205,5,78.9,0
712,2.8103,352.77,3,71.06,0.25
713,1.4008,124.139,1,29.46,0.666666667
714,-0.7716,151.129,0,100.45,0.818181818
715,2.5085,197.381,0,0,0
716,1.3296,300.266,0,107.22,0.272727273
717,5.2415,373.321,0,0,0
718,2.9767,100.205,4,0,0
719,4.7574,260.762,1,0,0
720,3.7268,236.74,0,0,0
721,10.3886,366.718,23,0,0
722,6.4876,226.448,13,0,0
723,3.53712,162.276,0,0,0.5
724,2.5866,86.178,3,0,0
725,4.7852,270.372,5,40.46,0.6
726,3.8094,162.276,5,0,0.5
727,-1.1742,100.077,0,58.2,0
728,3.1256,184.242,3,24.06,0.857142857
729,2.4536,214.264,3,40.46,0.75
730,-0.3513,297.745,1,118.36,0.352941176
731,1.7816,362.466,2,94.83,0
732,2.3524,404.503,3,100.9,0
733,3.995,354.875,0,20.23,0
734,3.8384,330.468,1,54.37,0
735,-0.3538,136.114,0,74.43,0.9
736,2.1753,118.179,0,0,0.666666667
737,2.0834,365.842,3,92.5,0.5
738,1.5629,118.139,0,28.68,1
739,2.1679,117.151,0,15.79,1
740,1.6546,119.167,0,12.03,0.666666667
741,-1.8566,268.229,2,133.75,0.473684211
742,2.2912,204.01,0,0,0.857142857
743,1.4413,155.966,0,0,0
744,4.4941,413,4,27.69,0.375
745,1.0512,141.939,0,0,0
746,2.47308,370.915,0,44.02,0.545454545
747,2.1915,243.742,5,53.94,0.375
748,3.1887,313.747,7,58.4,0.277777778
749,1.2055,116.16,2,26.3,0
750,0.8154,102.133,3,26.3,0
751,2.8851,134.222,2,0,0.6
752,0.3772,185.227,2,61.44,0
753,1.41762,231.255,4,67.16,0.647058824
754,3.8896,345.401,8,56.79,0.272727273
755,-0.3593,151.129,0,100.71,0.818181818
756,-0.3149,137.142,1,68.01,0.6
757,1.5956,130.187,3,26.3,0
758,1.2055,116.16,4,26.3,0
759,2.3218,138.21,0,17.07,0
760,2.5282,193.246,2,38.33,0.428571429
761,4.2528,309.366,8,89.52,0.272727273
762,0.9579,102.133,1,26.3,0
763,0.5678,88.106,2,26.3,0
764,2.81,120.195,1,0,0.666666667
765,2.9035,206.289,2,32.34,0.4
766,2.2348,129.162,0,12.89,1
767,2.667,279.34,2,70.67,0.3
768,2.9668,322.364,5,57.69,0.5
769,4.6182,490.639,0,17.07,0
770,2.86482,260.245,2,61.81,0.684210526
771,-5.3972,342.297,4,189.53,0
772,-2.5823,150.13,0,90.15,0
773,1.5305,234.299,1,54.86,0.352941176
774,2.6698,154.253,4,20.23,0
775,3.6444,290.832,0,0,0
776,3.0185,249.097,2,41.57,0.4
777,3.1013,321.163,1,61.69,0.571428571
778,4.1955,404.547,6,72.83,0
779,2.1218,330.364,9,71.06,0
780,0.5027,160.169,4,52.6,0
781,-5.3972,342.297,4,189.53,0
782,-3.5854,182.172,5,121.38,0
783,1.9222,127.574,0,26.02,0.75
784,3.1025,191.455,0,0,0.75
785,2.9446,238.455,0,0,0.75
786,2.2482,157.556,1,43.14,0.6
787,2.9722,295.298,3,84.08,0.681818182
788,2.632,329.38,8,65.07,0
789,0.8498,196.202,2,44.76,0
790,5.2797,340.507,1,34.14,0
791,3.3381,298.367,4,42.43,0.714285714
792,2.52334,310.297,3,75.27,0.3
793,4.5753,384.516,2,60.44,0
794,2.0119,172.183,0,34.14,0.461538462
795,2.4395,156.269,1,20.23,0
796,2.6477,154.253,1,17.07,0
797,0.9834,218.253,6,104.64,0
798,2.585,167.258,0,12.89,0.9
799,1.84434,279.336,5,55.84,0.3
800,0.6361,16.043,0,0,0
801,-0.3915,32.042,0,20.23,0
802,3.00254,250.301,1,34.89,0.842105263
803,0.501,198.222,2,66.48,0
804,1.436,261.064,1,57.14,0.6875
805,0.5302,241.243,6,91.01,0.352941176
806,5.062,310.478,10,35.53,0
807,1.8622,271.39,8,71.96,0.333333333
808,2.5478,216.192,1,52.58,0.8125
809,5.2059,345.653,4,18.46,0.571428571
810,0.1793,74.079,0,26.3,0
811,0.3454,86.09,1,26.3,0
812,1.4732,136.15,1,26.3,0.6
813,1.4329,88.15,3,9.23,0
814,1.3496,116.16,3,26.3,0
815,3.3001,186.295,8,26.3,0
816,-0.2108,60.052,1,26.3,0
817,0.59,184.147,1,86.99,0.461538462
818,1.7397,130.187,4,26.3,0
819,-0.9205,46.073,0,38.05,0
820,4.0803,214.349,10,26.3,0
821,0.8682,137.138,1,39.19,0.6
822,2.91,172.268,7,26.3,0
823,2.5199,158.241,6,26.3,0
824,1.3496,116.16,3,26.3,0
825,0.5694,88.106,1,26.3,0
826,1.0428,74.123,2,9.23,0
827,1.4313,88.15,0,9.23,0
828,2.5866,98.189,0,0,0
829,2.1965,84.162,0,0,0
830,3.7677,268.36,3,32.34,0.6
831,1.1788,152.149,1,46.53,0.545454545
832,4.8401,344.495,1,43.37,0
833,0.74091,142.183,0,48.65,0.666666667
834,3.16412,283.799,6,29.54,0.315789474
835,2.71412,365.842,2,92.5,0.5
836,1.4048,151.165,1,38.33,0.545454545
837,2.4421,228.679,2,41.57,0.4
838,0.09202,171.156,3,81.19,0.416666667
839,0.3715,214.294,1,73.8,0.428571429
840,0.09202,171.156,3,81.19,0.416666667
841,2.5882,175,0,0,0.75
842,-0.1303,209.253,1,95.11,0.4
843,6.223,545.546,0,0,0
844,1.57722,107.156,0,26.02,0.75
845,1.177,138.126,1,69.16,0.6
846,1.3004,139.11,1,63.37,0.6
847,1.90322,137.138,1,43.14,0.6
848,2.3651,214.652,2,41.57,0.428571429
849,-2.8848,446.405,6,184.6,0.193548387
850,2.4335,198.653,1,32.34,0.461538462
851,1.988,302.238,1,131.36,0.727272727
852,2.30344,106.168,0,0,0.75
853,2.5328,149.237,3,3.24,0.545454545
854,0.0945,87.122,0,20.31,0
855,1.7526,121.183,1,3.24,0.666666667
856,3.6512,380.784,5,44.76,0
857,3.4755,271.36,5,29.54,0.5
858,5.1462,228.294,0,0,1
859,2.8398,128.174,0,0,1
860,4.2572,275.179,4,32.34,0.352941176
861,2.6714,154.253,4,20.23,0
862,2.1184,121.183,2,12.03,0.666666667
863,2.65122,266.304,1,58.12,0.6
864,3.8595,327.123,3,92.47,0.571428571
865,0.1805,122.127,1,55.98,0.666666667
866,2.1756,346.339,4,107.77,0.24
867,0.9959,156.097,2,88.87,0.454545455
868,2.4086,295.298,2,75.81,0.545454545
869,0.5809,214.206,2,88.37,0.357142857
870,2.9502,322.243,5,115.54,0.272727273
871,3.5617,230.909,0,12.89,0.545454545
872,2.3843,281.271,2,84.6,0.571428571
873,1.5948,123.111,1,43.14,0.666666667
874,0.283,75.067,1,43.14,0
875,4.6939,284.098,3,52.37,0.666666667
876,0.0735,238.159,3,118.05,0.294117647
877,-1.0201,227.085,8,157.11,0
878,-0.1071,61.04,0,43.14,0
879,1.7283,107.156,1,12.03,0.75
880,3.7569,128.259,6,0,0
881,4.2894,511.581,5,92.18,0.615384615
882,2.0823,222.332,1,32.34,0
883,4.0633,340.463,1,43.37,0
884,2.6074,314.425,0,57.53,0
885,2.9464,303.671,2,46.92,0.6
886,5.929,320.046,3,0,0.666666667
887,0.9744,109.128,0,46.25,0.75
888,1.9222,127.574,0,26.02,0.75
889,3.1025,191.455,0,0,0.75
890,2.9446,238.455,0,0,0.75
891,2.2482,157.556,1,43.14,0.6
892,3.3668,114.232,5,0,0
893,0.1016,89.094,1,52.32,0
894,2.5882,175,0,0,0.75
895,0.4911,137.138,1,63.32,0.6
896,1.4008,124.139,1,29.46,0.666666667
897,1.177,138.126,1,69.16,0.6
898,1.6034,153.137,2,52.37,0.545454545
899,1.3004,139.11,1,63.37,0.6
900,1.90322,137.138,1,43.14,0.6
901,1.7768,346.365,8,149.68,0.260869565
902,3.3103,244.29,3,39.44,0.555555556
903,1.57722,107.156,0,26.02,0.75
904,4.217,345.226,3,57.26,0.5
905,0.1071,219.266,1,71,0
906,2.4479,286.718,1,61.69,0.6
907,1.3016,267.306,2,72.47,0.333333333
908,2.30344,106.168,0,0,0.75
909,3.4934,324.38,5,60.85,0.5
910,2.518,184.242,1,52.04,0.857142857
911,5.929,320.046,3,0,0.666666667
912,6.1879,318.03,2,0,0.666666667
913,0.9744,109.128,0,46.25,0.75
914,-1.6476,114.06,0,75.27,0
915,3.2711,291.265,7,70.83,0.333333333
916,2.518,184.242,1,52.04,0.857142857
917,2.4075,214.062,1,29.1,0.545454545
918,3.0537,282.906,0,0,0.75
919,2.2984,169.611,1,29.1,0.545454545
920,1.9222,127.574,0,26.02,0.75
921,3.1025,191.455,0,0,0.75
922,2.9446,238.455,0,0,0.75
923,2.2482,157.556,1,43.14,0.6
924,1.70062,108.14,0,20.23,0.75
925,3.3716,203.351,6,20.31,0
926,5.3167,328.843,4,32.34,0.52173913
927,4.9536,250.339,0,0,0.545454545
928,3.1603,202.295,0,0,0
929,4.6592,266.338,0,20.23,0.5
930,3.2287,148.249,0,0,0.545454545
931,2.1965,72.151,2,0,0
932,1.185,226.276,4,75.27,0
933,1.7397,130.187,4,26.3,0
934,1.7397,130.187,4,26.3,0
935,3.4193,148.249,4,0,0.545454545
936,3.7569,140.27,4,0,0
937,3.08932,379.381,4,80.31,0.5
938,6.1133,391.294,6,35.53,0.461538462
939,5.7372,252.316,0,0,1
940,1.7841,153.156,1,29.1,0.545454545
941,2.0437,179.219,3,38.33,0.461538462
942,3.993,178.234,0,0,1
943,3.388,179.222,0,12.89,1
944,2.0853,122.167,2,9.23,0.666666667
945,3.78422,300.314,3,76.66,0.545454545
946,0.7004,232.239,2,75.27,0.352941176
947,1.3922,94.113,0,20.23,0.857142857
948,3.5601,318.328,2,66.76,0.75
949,5.7605,350.458,6,35.53,0.461538462
950,3.7878,308.381,5,40.62,0.52173913
951,0.9722,108.144,1,38.05,0.75
952,1.1789,108.14,1,20.23,0.75
953,1.3421,152.222,1,38.05,0.6
954,1.7696,252.273,2,58.2,0.631578947
955,3.7277,260.386,8,18.46,0
956,4.2361,367.816,7,53.6,0.428571429
957,3.22838,298.304,7,63.84,0.315789474
958,0.0012,149.149,0,46.17,0
959,0.5702,147.133,0,46.17,0.545454545
960,1.42996,128.134,0,47.58,0.6
961,1.3506,151.165,1,49.33,0.545454545
962,1.2047,122.123,1,37.3,0.666666667
963,6.2994,278.354,0,0,1
964,2.9972,285.343,3,38.77,0.285714286
965,1.2278,150.133,1,35.53,0.545454545
966,4.1983,353.49,9,38.77,0
967,1.21984,238.291,2,58.56,0.352941176
968,1.581,331.353,2,99.6,0.52173913
969,1.5077,136.15,2,26.3,0.6
970,1.57722,107.156,0,26.02,0.75
971,1.177,138.126,1,69.16,0.6
972,1.6034,153.137,2,52.37,0.545454545
973,1.3004,139.11,1,63.37,0.6
974,1.90322,137.138,1,43.14,0.6
975,3.0592,170.211,1,20.23,0.923076923
976,3.8792,288.431,0,37.3,0
977,1.5576,360.45,2,94.83,0
978,2.1284,402.487,3,100.9,0
979,4.5153,316.485,1,37.3,0
980,0.5379,218.256,2,58.2,0.375
981,0.4048,198.222,2,75.27,0
982,3.2829,284.142,1,37.38,0.333333333
983,4.7235,314.469,1,34.14,0
984,1.5208,225.296,5,71.96,0.375
985,2.2341,241.364,5,62.73,0.375
986,2.6668,211.692,3,20.31,0.428571429
987,1.4163,44.097,0,0,0
988,3.3419,218.083,2,29.1,0.461538462
989,2.1656,229.715,4,62.73,0.4
990,2.3388,281.314,7,56.79,0
991,3.6534,342.226,5,49.17,0.5
992,0.5953,58.08,1,17.07,0
993,0.91998,55.08,0,23.79,0
994,2.192,209.245,3,47.56,0.4
995,0.9595,102.133,2,26.3,0
996,0.9595,102.133,2,26.3,0
997,0.5694,88.106,3,26.3,0
998,1.3496,116.16,3,26.3,0
999,2.6391,120.195,2,0,0.666666667
1000,2.9767,112.216,2,0,0
1001,1.1923,42.081,0,0,0
1002,1.8214,102.177,3,9.23,0
1003,0.6395,40.065,0,0,0
1004,2.6897,150.221,0,20.23,0.545454545
1005,0.4198,132.126,0,51.56,1
1006,5.0206,230.31,2,0,1
1007,0.64242,171.221,1,60.16,0.545454545
1008,2.30344,106.168,0,0,0.75
1009,2.7095,217.268,2,38.33,0.375
1010,-0.4245,123.115,1,68.87,0.666666667
1011,1.4681,221.647,1,60.91,0.8
1012,4.584,202.256,0,0,1
1013,0.4766,80.09,0,25.78,1
1014,1.0816,79.102,0,12.89,1
1015,0.4766,80.09,0,25.78,1
1016,2.24112,245.282,2,47.36,0.611111111
1017,0.8788,289.744,2,101.29,0.333333333
1018,2.2348,129.162,0,12.89,1
1019,2.826,332.57,3,63.24,0.3
1020,4.8618,295.336,1,43.14,0.428571429
1021,-7.5714,504.438,8,268.68,0
1022,1.4952,262.309,2,75.27,0
1023,2.2246,254.293,1,49.33,0.631578947
1024,0.1343,133.197,0,29.1,0
1025,-1.72356,376.369,5,161.56,0.518518519
1026,1.8356,179.219,3,52.32,0.461538462
1027,4.5429,321.549,4,27.69,0.375
1028,3.7033,394.423,3,63.22,0.413793103
1029,2.88,330.171,2,69.72,0.285714286
1030,2.4639,226.235,0,42.43,0.705882353
1031,2.95952,254.289,0,55.56,0.631578947
1032,2.878,288.738,1,49.33,0.6
1033,3.52752,322.29,1,58.12,0.52173913
1034,2.81714,268.32,1,58.12,0.6
1035,2.7599,270.361,1,32.26,0.631578947
1036,3.3649,269.373,1,19.37,0.631578947
1037,3.4346,252.317,1,23.55,0.631578947
1038,2.6147,268.32,2,49.33,0.6
1039,3.2071,255.292,2,20.31,0.631578947
1040,3.17972,296.374,2,48.47,0.545454545
1041,3.12232,283.331,2,54.46,0.571428571
1042,3.4587,273.723,1,45.23,0.631578947
1043,2.35452,255.277,0,68.45,0.631578947
1044,2.8296,253.305,1,36.44,0.631578947
1045,1.6288,313.361,4,81.59,0.52173913
1046,3.2071,255.292,2,20.31,0.631578947
1047,3.459,239.274,1,29.54,0.666666667
1048,-1.6424,286.28,4,119.61,0.3
1049,0.4911,137.138,1,63.32,0.6
1050,2.6445,213.236,2,49.33,0.75
1051,2.4196,246.306,0,43.37,0
1052,1.3511,238.287,5,75.27,0
1053,3.3868,232.327,2,41.13,0.352941176
1054,1.3886,201.661,4,62.73,0.461538462
1055,0.7255,213.31,3,45.15,0.428571429
1056,-3.5854,182.172,5,121.38,0
1057,-1.06888,361.445,8,132.12,0.260869565
1058,4.8523,416.583,1,60.44,0
1059,3.8884,293.407,9,38.77,0.285714286
1060,3.9591,290.447,0,37.3,0
1061,5.6015,365.964,5,44.76,0.315789474
1062,2.3296,104.152,1,0,0.75
1063,1.7579,120.151,1,12.53,0.666666667
1064,-0.577,99.089,0,46.17,0
1065,-5.3956,342.297,5,189.53,0
1066,-0.55943,214.25,2,122.06,0.428571429
1067,3.0988,223.794,4,3.24,0
1068,-0.0838,172.209,1,86.18,0.545454545
1069,0.961,224.26,4,75.27,0
1070,2.9841,134.222,0,0,0.6
1071,0.7614,70.091,1,17.07,0
1072,4.5117,381.112,2,58.2,0.5
1073,1.25342,216.668,0,54.86,0.428571429
1074,4.5063,288.44,7,18.46,0
1075,1.5224,225.296,4,71.96,0.375
1076,2.2357,241.364,4,62.73,0.375
1077,3.8792,288.431,0,37.3,0
1078,4.45,330.468,1,43.37,0
1079,4.8401,344.495,2,43.37,0
1080,3.1773,331.627,0,0,0
1081,3.0682,165.834,0,0,0
1082,4.0144,261.919,1,29.46,0.461538462
1083,2.5529,153.823,0,0,0
1084,5.7074,198.394,11,0,0
1085,5.55182,418.736,4,26.3,0.222222222
1086,0.7968,72.107,0,9.23,0
1087,1.1869,86.134,0,9.23,0
1088,0.2296,116.164,0,23.55,0
1089,0.0878,258.233,1,83.55,0.315789474
1090,-1.0397,180.167,0,72.68,0.692307692
1091,-1.0397,180.167,0,72.68,0.692307692
1092,0.4043,356.227,6,103.7,0.285714286
1093,1.516,254.355,5,58.2,0
1094,2.4085,124.208,1,0,0.75
1095,2.1075,218.322,3,50.69,0
1096,2.99,246.359,7,18.46,0
1097,1.3499,242.344,4,58.2,0
1098,1.7481,84.143,0,0,1
1099,1.9753,110.181,0,0,0.857142857
1100,0.0586,128.156,0,45.75,0.75
1101,-0.8113,76.124,0,52.04,0
1102,2.0608,240.444,0,6.48,0
1103,-0.62838,126.115,0,65.72,0.666666667
1104,2.82402,150.221,1,20.23,0.545454545
1105,1.99502,92.141,0,0,0.857142857
1106,3.2752,148.249,1,0,0.545454545
1107,2.8326,112.216,0,0,0
1108,2.7527,98.189,3,0,0
1109,1.9725,70.135,1,0,0
1110,3.1243,293.754,4,57.01,0.55
1111,4.8439,304.67,4,20.31,0
1112,0.6205,394.439,2,115.06,0
1113,2.4188,434.504,2,93.06,0
1114,1.7621,478.513,4,127.2,0
1115,0.8334,253.269,1,129.62,0.842105263
1116,4.23352,343.217,1,43.07,0.739130435
1117,2.4547,252.731,0,0,0
1118,0.821,380.662,2,118.36,0.3
1119,2.1609,257.437,3,55.76,0
1120,0.821,380.662,2,118.36,0.3
1121,1.88018,144.388,0,23.79,0
1122,2.5017,131.389,0,0,0
1123,1.9864,119.378,0,0,0
1124,5.3915,333.604,5,18.46,0.352941176
1125,5.1447,289.545,2,29.46,0.705882353
1126,6.25676,368.369,6,44.76,0.692307692
1127,2.25242,189.243,0,30.19,0.923076923
1128,1.803,229.715,5,53.94,0.4
1129,2.204,182.156,6,44.76,0
1130,4.1482,335.282,7,89.52,0.260869565
1131,2.431,430.934,6,64.68,0
1132,1.2673,435.481,6,132.5,0.322580645
1133,5.1462,228.294,0,0,1
1134,-1.375,266.257,2,126.65,0.473684211
1135,-0.9368,112.088,0,65.72,0.75
1136,-0.9762,60.056,0,69.11,0
1137,-1.7672,168.112,0,114.37,0.75
1138,1.3755,86.134,3,17.07,0
1139,1.9882,287.343,8,64.63,0
1140,3.4213,286.114,2,46.61,0.333333333
1141,3.6096,308.333,4,67.51,0.695652174
1142,2.56214,354.815,3,109.49,0.52173913
1143,2.02164,179.219,1,38.33,0.461538462
